# name, date, code, BW,  frequency, maj, min, PA, rms, S_VLBI, S_core, S_core/S_VLBI, S_VLBI/S_RATAN, Core Size, z, T_b 
'J0001+1914', '1996-01-02', 'BB023', '16.0', '2266.89625', 9.59, 3.74, 102.8, 1.44, 0.56, 0.56, 1., 1., 0.3 , 3.1 , 587.3887992135809
'J0001+1914', '1996-01-02', 'BB023', '16.0', '8336.89625', 2.93, 0.94, 104.1, 1.15, 0.38, 0.38, 1., 1., 0.16 , 3.1 , 102.07965868244587
'J0001+1914', '1996-03-13', 'BB023', '16.0', '2266.89625', 7.67, 3.53, 89., 1.4, 0.55, 0.55, 1., 1., 0.39 , 3.1 , 355.0015009069262
'J0001+1914', '1996-03-13', 'BB023', '16.0', '8336.89625', 2.12, 0.98, 89., 1.03, 0.47, 0.47, 1., 1., 0.18 , 3.1 , 105.74593913221315
'J0001+1914', '2008-12-17', 'rdv72', '64.0', '2305.49', 13.09, 3.89, 101.6, 0.94, 0.24, 0.24, 1., 1., 2.57 , 3.1 , 3.4182313964803446
'J0001+1914', '2008-12-17', 'rdv72', '64.0', '8642.24', 4.11, 1.14, 100., 1.42, 0.35, 0.35, 1., 1., 0.63 , 3.1 , 5.911149180864952
'J0001+1914', '2009-05-13', 'RDV75', '32.0', '2309.474375', 4.32, 2.51, 98.44, 0.28, 0.29, 0.26, 0.9, 0.9, 0.62 , 3.1 , 62.74006827819713
'J0001+1914', '2009-05-13', 'RDV75', '32.0', '8646.224375', 1.26, 0.7, 94.2, 0.25, 0.25, 0.22, 0.86, 0.86, 0.22 , 3.1 , 30.02157484849392
'J0001+1914', '2009-07-29', 'rdv76', '32.0', '2305.49', 5.59, 2.58, 97.75, 0.63, 0.3, 0.3, 1., 1., 1.01 , 3.1 , 27.853519371955855
'J0001+1914', '2009-07-29', 'rdv76', '32.0', '8642.24', 1.53, 0.69, 97.5, 0.56, 0.27, 0.27, 1., 1., 0.41 , 3.1 , 10.914386474580624
'J0001+1914', '2010-06-23', 'RDV79', '32.0', '2309.45875', 5.96, 2.51, 94.56, 0.29, 0.29, 0.23, 0.79, 0.79, 0.75 , 3.1 , 38.68281742125884
